Participant,Quality,Method,AttentionSwitch_CodetoSummary,AttentionSwitch_Token,YearsCoding,JavaExperience
186,2,toString,,,4,3.0
143,2,toString,,,5,5.0
311,2,toString,,,9,5.0
318,1,toString,15.0,104.0,7,5.0
176,0,testGetEmail,12.0,184.0,4,4.0
317,2,testGetEmail,,,5,2.0
168,1,testGetEmail,26.0,139.0,4,2.0
106,2,testGetEmail,,,6,4.0
117,0,getRodinDBStatus,34.0,101.0,4,1.0
186,0,getRodinDBStatus,18.0,86.0,4,3.0
182,0,getRodinDBStatus,18.0,216.0,3,2.5
311,2,getRodinDBStatus,,,9,5.0
176,1,store,7.0,81.0,4,4.0
317,1,store,9.0,202.0,5,2.0
168,1,store,13.0,318.0,4,2.0
313,0,store,6.0,242.0,14,3.0
314,2,store,,,5,3.0
106,2,store,,,6,4.0
139,0,store,10.0,409.0,4,2.0
155,0,addRotation,8.0,78.0,5,2.0
182,2,addRotation,,,3,2.5
310,2,addRotation,,,10,1.0
111,2,addRotation,,,2,1.0
311,1,addRotation,31.0,256.0,9,5.0
191,0,addRotation,21.0,401.0,4,1.0
189,0,addRotation,11.0,355.0,8,3.0
312,0,addRotation,5.0,71.0,8,1.0
136,1,goToRegistration,1.0,225.0,5,1.0
319,1,goToRegistration,2.0,19.0,11,1.0
182,2,goToRegistration,,,3,2.5
111,2,goToRegistration,,,2,1.0
106,2,goToRegistration,,,6,4.0
182,2,setUpMrj,,,3,2.5
111,1,setUpMrj,5.0,66.0,2,1.0
143,2,setUpMrj,,,5,5.0
316,2,setUpMrj,,,13,4.0
312,2,setUpMrj,,,8,1.0
139,0,setUpMrj,21.0,138.0,4,2.0
